Sample	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_duplication	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_rate	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_bases	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-filtering_result_passed_filter_reads	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_gc_content	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_surviving	GATK4 MarkDuplicates: Mark Duplicates_mqc-generalstats-gatk4_markduplicates_mark_duplicates-PERCENT_DUPLICATION	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-error_rate	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-non_primary_alignments	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_properly_paired_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_MQ0_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-raw_total_sequences	Mosdepth_mqc-generalstats-mosdepth-1_x_pc	Mosdepth_mqc-generalstats-mosdepth-5_x_pc	Mosdepth_mqc-generalstats-mosdepth-10_x_pc	Mosdepth_mqc-generalstats-mosdepth-30_x_pc	Mosdepth_mqc-generalstats-mosdepth-50_x_pc	Mosdepth_mqc-generalstats-mosdepth-median_coverage	Mosdepth_mqc-generalstats-mosdepth-mean_coverage	Mosdepth_mqc-generalstats-mosdepth-min_coverage	Mosdepth_mqc-generalstats-mosdepth-max_coverage	Mosdepth_mqc-generalstats-mosdepth-coverage_bases	Mosdepth_mqc-generalstats-mosdepth-length	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_records	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_indels	Bcftools: Stats_mqc-generalstats-bcftools_stats-tstv	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_MNPs
xplus_sns | KMS12BM.md								0.004897321	0.0	1384526000.0	99.69142379146501	97.89538817067232	3.9830472549456966	1388811542.0	94.0	94.0	94.0	83.0	55.00000000000001	53	52.38	0.0	3288279.0	162421589209	3100592042					
xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A	19.68	0.947623	32889226967.0	231380592.0	0.409039	100.0																								
xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A.MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1							0.226009																							
xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1	17.6595	0.947839	31281734050.0	220021472.0	0.409239	100.0																								
xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_2	20.7771	0.944091	36125264440.0	255097250.0	0.40869	100.0																								
xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A	7.41285	0.937353	31302762087.0	222632316.0	0.406827	100.0																								
xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1	6.49673	0.937847	29566947429.0	210176128.0	0.406919	100.0																								
xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A_2	7.8549999999999995	0.933292	32930328348.0	235227168.0	0.407196	100.0																								
xplus_sns | MM1S.deepvariant																										8386268	7025410	1368178	1.52	0
xplus_sns | MM1S.md								0.005359722	0.0	1370916147.0	99.73672702442484	97.77685110636469	4.333680714345122	1374534926.0	94.0	94.0	94.0	85.0	62.0	52	51.0	0.0	3512765.0	158140826579	3100554802					
xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A	21.404400000000003	0.949447	40162160940.0	282003984.0	0.410393	100.0																								
xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A_1	20.0878	0.950405	39380446220.0	276236370.0	0.409422	100.0																								
xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A_2	18.6783	0.949962	34629399408.0	243022930.0	0.409883	100.0																								
