FFQ	54	0	2	33	238	341	312	240	279	301	303	307	363	353	377	427	485	523	545	650	715	751	821	850	1190	1065	1281	1459	1641	1729	1800	2280	2387	2589	3049	3872	3565	4409	4752	6315	7695	8286	11460	17368	28878	93563	390891	0
FFQ	55	1	1	18	231	330	320	292	297	288	303	336	346	357	435	394	485	520	537	626	679	788	808	860	1115	1057	1292	1406	1648	1748	1842	2246	2481	2552	3091	3935	3538	4339	4780	6375	7844	8383	11530	17152	28951	93458	390725	0
FFQ	56	2	0	30	242	318	318	298	280	287	287	332	377	358	397	414	452	513	516	665	616	817	699	847	1166	1074	1260	1365	1586	1771	1879	2299	2434	2498	3110	3899	3497	4397	4880	6238	7699	8446	11512	16931	28986	92137	392611	0
FFQ	57	0	0	24	246	340	286	284	254	314	300	337	356	366	428	430	452	566	578	614	718	801	795	890	1128	1059	1236	1326	1600	1759	1811	2249	2353	2507	3107	3818	3483	4390	4904	6148	7718	8445	11210	16682	28999	91756	393673	0
FFQ	58	35	0	26	271	345	277	290	328	280	342	326	344	358	429	422	471	551	612	646	714	874	830	870	1204	1069	1327	1507	1625	1738	1844	2312	2488	2627	3247	3663	3595	4558	4851	6231	7731	8596	11346	17180	29250	93553	389557	0
FFQ	59	3	1	24	242	356	313	307	256	272	332	359	346	372	379	427	485	530	569	599	666	816	775	886	1135	1143	1277	1412	1620	1801	1901	2290	2310	2491	3197	3838	3543	4480	4914	6140	7820	8751	11112	17084	29165	92878	391123	0
FFQ	60	243	2	16	248	361	315	313	288	280	324	342	348	395	434	425	494	580	600	664	692	843	788	839	1161	1131	1319	1413	1664	1810	1934	2216	2398	2598	3120	3924	3533	4703	4938	6239	7942	8548	11451	16735	29952	92604	389573	0
FFQ	61	54	2	14	250	345	294	293	274	303	323	318	341	358	438	428	498	480	621	628	705	843	770	884	1171	1091	1291	1462	1588	1754	1855	2221	2364	2568	3156	3844	3625	4570	4835	6271	7689	8599	11022	16846	29685	92545	391224	0
FFQ	62	4	1	19	242	384	279	320	287	307	313	329	343	383	409	438	452	544	606	651	749	798	733	925	1145	1119	1270	1461	1618	1796	1840	2237	2309	2490	3177	3829	3563	4555	4953	6172	7810	8623	11352	16701	29855	91750	391599	0
FFQ	63	12	0	27	264	341	309	319	308	329	356	336	370	433	410	452	510	514	641	657	730	822	805	907	1153	1067	1292	1499	1601	1765	1830	2239	2383	2479	3055	3808	3663	4684	4929	6069	7680	8656	10846	16696	29861	93006	390627	0
FFQ	64	6	0	24	250	335	312	268	305	283	337	315	337	350	402	413	470	540	614	663	752	856	793	930	1078	1130	1284	1541	1612	1922	1876	2233	2450	2494	3152	3911	3660	4592	5028	6179	7652	8723	10918	16737	29960	93372	389681	0
FFQ	65	0	1	24	279	324	300	312	284	289	336	337	384	380	474	427	477	557	594	612	699	819	868	890	1065	1151	1334	1474	1618	1844	1874	2287	2408	2454	3145	3848	3680	4595	5061	5873	7747	8674	10745	16922	30064	93581	389629	0
FFQ	66	8	1	10	263	361	326	329	311	286	332	348	356	398	481	405	506	522	604	683	716	861	821	940	1146	1178	1359	1499	1620	1889	1845	2259	2410	2528	3100	4021	3563	4686	5084	6150	7752	9041	11025	16947	30533	93882	387355	0
FFQ	67	0	0	17	247	328	305	306	257	288	329	337	364	376	408	418	501	526	595	665	688	870	831	887	1117	1152	1261	1461	1602	1929	1901	2238	2405	2489	3054	3839	3598	4489	5013	6087	7600	8761	10865	16642	30245	93661	389788	0
FFQ	68	0	1	19	238	319	321	336	308	277	311	348	381	372	416	454	483	528	578	678	670	823	840	882	1158	1129	1254	1522	1652	1914	1907	2253	2450	2570	3250	3998	3610	4571	5214	5871	7530	8939	10833	16548	30256	94146	388582	0
FFQ	69	10	1	20	243	333	285	295	282	281	332	305	344	395	444	445	492	542	617	656	700	863	898	921	1109	1095	1248	1515	1562	1937	1826	2223	2434	2510	3100	3843	3665	4412	5122	5985	7692	9089	10632	16510	30057	94333	389137	0
FFQ	70	17	0	13	224	361	349	278	295	293	326	331	367	387	435	418	467	547	570	637	669	855	838	935	1143	1062	1259	1536	1611	1871	1898	2170	2324	2491	3142	3953	3553	4520	5133	6036	7627	8968	10677	16271	30020	93632	390231	0
FFQ	71	0	0	20	253	335	303	290	309	319	346	313	325	386	439	426	498	533	602	648	688	787	852	844	1097	1119	1314	1504	1658	1909	1806	2254	2394	2548	3000	3873	3710	4504	5227	5780	7530	9063	10692	16250	29737	93471	390784	0
FFQ	72	0	0	11	236	344	306	311	282	314	337	294	337	394	449	407	521	509	538	650	700	804	873	843	1071	1105	1309	1575	1629	1965	1806	2211	2380	2470	3271	3787	3636	4536	5211	5922	7592	8985	10843	16452	29672	93820	390032	0
FFQ	73	1	3	21	262	341	343	285	277	293	337	326	362	402	448	410	446	516	566	644	753	825	898	896	1080	1072	1279	1553	1551	1807	1781	2244	2348	2562	3055	3750	3700	4427	4989	6006	7370	8928	10852	16124	29247	95440	389920	0
FFQ	74	0	0	16	243	383	309	304	285	268	309	303	319	357	415	418	487	504	594	715	678	807	905	846	1096	1060	1356	1502	1505	1858	1895	2159	2366	2507	3196	3696	3790	4462	4713	5867	7327	8932	10830	15977	29249	95216	390716	0
FFQ	75	0	0	16	264	336	342	303	291	283	349	327	371	422	410	459	510	541	614	727	740	804	914	871	1106	1122	1261	1491	1548	1913	1927	2212	2349	2699	3067	3875	3844	4480	4892	6034	7326	9143	11009	16237	29884	95572	387855	0
FFQ	76	0	0	22	227	350	333	316	310	297	340	365	320	429	440	431	517	499	575	692	717	829	910	861	1077	1076	1312	1545	1532	1925	1907	2149	2364	2484	2981	3865	3921	4567	5045	6036	7476	8871	11148	16058	30091	96050	387480	0
FFQ	77	0	0	17	230	344	352	310	301	289	348	346	340	403	477	454	438	488	556	683	681	778	901	867	1080	1012	1253	1578	1488	1852	1892	2171	2390	2530	3118	3855	3847	4463	4918	6129	7456	9017	11170	15981	29679	94603	389655	0
FFQ	78	0	0	22	258	350	322	305	310	314	314	318	348	427	487	431	533	510	580	663	651	829	895	935	1135	1103	1340	1585	1521	1934	1906	2266	2379	2655	3069	3700	3892	4556	4837	6164	7534	8992	11168	16105	29364	94889	388844	0
FFQ	79	0	2	20	258	351	348	322	343	300	336	335	344	405	475	441	513	490	610	693	713	847	901	891	1131	1104	1243	1559	1593	1882	2002	2258	2415	2491	3064	3717	3926	4611	4742	6009	7400	9152	11425	15832	29935	94175	389136	0
FFQ	80	14	1	19	274	364	335	316	307	302	363	341	370	397	437	453	480	556	622	730	677	908	959	917	1075	1116	1298	1656	1504	1916	2019	2218	2378	2619	3112	3669	3943	4489	4843	6241	7277	9016	11537	15844	29600	94863	388365	0
FFQ	81	2	0	29	236	365	319	300	309	310	306	320	341	428	443	439	520	525	587	682	678	777	886	890	1083	1125	1277	1635	1485	1925	2050	2229	2351	2616	3091	3717	3891	4529	4773	6309	7282	9073	11738	15771	29418	95081	388599	0
FFQ	82	19	1	24	214	368	334	326	309	285	339	314	369	451	431	441	529	527	613	682	715	890	963	936	1110	1021	1334	1630	1570	1898	2036	2240	2354	2588	3060	3810	3872	4553	4906	6279	7286	9118	11749	15687	29607	94739	388213	0
FFQ	83	1	1	14	277	354	311	312	346	291	335	319	381	398	462	492	460	557	637	670	749	878	906	964	1115	1070	1298	1617	1553	1888	2053	2279	2334	2599	2969	3661	3977	4586	4714	6184	7232	9136	11956	15651	29570	96089	387094	0
FFQ	84	2	0	32	275	382	362	319	317	307	316	385	404	469	477	477	522	577	587	709	745	892	1017	923	1137	1056	1360	1572	1573	1884	2114	2218	2463	2750	3081	3755	3963	4607	4939	6485	7232	9164	12131	15865	29606	96100	385189	0
FFQ	85	0	0	17	238	369	296	313	319	299	326	317	362	415	431	437	477	545	571	677	665	835	906	985	995	1093	1373	1559	1561	1886	2119	2310	2331	2730	3063	3714	3985	4673	4921	6618	7168	8966	12155	15535	29376	93476	389333	0
