FFQ	92	70	1	4	154	202	187	195	173	197	201	213	190	273	305	293	317	314	406	418	443	559	600	686	701	615	880	964	1041	1164	1372	1423	1308	1571	2058	2204	2246	2482	3129	3952	4700	5383	7774	10803	19330	61889	610077	0
FFQ	93	4	0	7	135	209	192	201	212	173	187	217	229	247	274	311	341	325	400	452	452	571	549	632	725	690	912	961	1082	1106	1347	1373	1270	1556	2078	2177	2238	2566	3032	4071	4622	5398	7867	10463	19030	61380	611203	0
FFQ	94	3	0	10	147	211	221	212	207	198	214	220	219	254	340	315	343	342	459	430	457	579	546	623	725	636	898	949	1094	1157	1401	1377	1336	1651	2058	2131	2255	2591	3091	4282	4591	5344	8184	10489	19257	61843	609577	0
FFQ	95	4	0	14	181	228	218	213	182	216	228	246	229	266	306	321	315	391	424	479	462	559	583	678	770	664	885	955	1136	1155	1366	1405	1437	1694	2177	2197	2293	2739	3113	4214	4678	5555	8132	10625	20121	64748	604665	0
FFQ	96	88	0	7	162	223	210	209	211	197	202	206	219	261	316	312	373	349	408	430	472	573	570	650	817	633	901	951	1062	1170	1455	1390	1408	1681	2015	2186	2295	2627	3180	4327	4779	5329	8099	10501	19260	62258	608495	0
FFQ	97	169	0	10	155	248	223	191	204	199	198	252	232	236	315	308	378	325	428	423	444	545	549	695	730	660	938	980	1055	1144	1403	1457	1381	1748	2091	2189	2362	2630	3106	4348	4590	5429	8306	10524	19125	60880	609664	0
FFQ	98	7	0	5	162	247	216	244	201	216	216	223	266	237	331	297	283	359	433	456	530	550	560	690	708	667	933	1004	1163	1149	1410	1386	1419	1762	2018	2142	2353	2485	3104	4207	4611	5389	8606	10145	18830	60599	610648	0
FFQ	99	5	0	16	186	273	256	244	223	247	231	269	263	289	327	313	363	339	465	499	499	640	638	729	775	733	910	1001	1141	1178	1484	1435	1425	1737	2142	2261	2443	2631	3184	4517	4809	5479	8935	10793	19780	64860	602500	0
FFQ	100	4	0	4	181	235	234	220	227	252	210	223	231	291	321	330	320	365	473	468	461	595	598	648	760	653	904	1000	1142	1147	1381	1451	1398	1666	2086	2259	2436	2576	3108	4372	4597	5543	8953	10320	19322	61703	607799	0
FFQ	101	228	0	19	215	258	225	234	230	262	227	299	266	323	358	321	355	374	464	478	554	633	629	749	795	711	917	974	1174	1191	1441	1539	1374	1754	2188	2267	2443	2692	3286	4643	4662	5587	9101	10659	19997	65494	600877	0
FFQ	102	4	0	13	190	242	257	220	269	220	218	264	244	309	342	313	362	402	468	419	536	601	653	689	803	724	963	959	1178	1179	1502	1565	1495	1791	2150	2249	2531	2569	3260	4587	4666	5676	9448	10556	20419	66200	599762	0
FFQ	103	227	0	10	207	285	256	258	260	239	250	250	257	263	335	349	342	378	455	449	492	600	625	740	825	652	931	1050	1184	1103	1539	1494	1399	1756	2209	2319	2558	2647	3288	4622	4640	5718	9533	10815	20136	66684	598838	0
FFQ	104	227	0	10	208	284	273	249	236	248	247	275	248	326	397	365	367	382	449	457	492	627	625	702	825	735	921	961	1127	1241	1501	1457	1467	1827	2048	2387	2597	2649	3324	4740	4715	5552	9525	10395	20220	65707	599852	0
FFQ	105	29	0	12	187	286	258	244	223	214	231	261	237	294	364	334	334	432	458	538	496	588	641	666	812	727	999	973	1101	1163	1416	1487	1475	1760	2120	2407	2521	2583	3249	4644	4555	5714	9482	10372	19453	62866	604261	0
FFQ	106	1826	0	7	191	292	242	244	265	244	236	263	282	274	363	411	367	356	462	489	492	640	621	751	805	768	955	1011	1117	1110	1485	1495	1450	1879	2174	2406	2663	2580	3444	4733	4659	5588	9747	10535	20137	65328	598080	0
FFQ	107	5	0	7	206	270	258	248	247	244	270	245	279	316	330	337	356	407	487	532	515	641	624	719	833	783	974	1019	1176	1149	1509	1470	1525	1815	2155	2400	2731	2560	3376	4608	4537	5720	9939	10441	20172	64825	600207	0
FFQ	108	112	0	15	225	288	276	230	263	276	249	272	263	267	366	359	396	391	498	512	528	616	637	760	853	783	952	998	1202	1232	1499	1530	1529	1897	2164	2391	2654	2561	3409	4639	4492	5632	10108	10290	20122	65359	599372	0
FFQ	109	4	0	4	197	286	268	245	242	245	249	296	245	279	396	387	368	354	432	503	507	642	689	762	842	767	927	1002	1168	1219	1468	1529	1608	1786	2105	2405	2550	2453	3383	4629	4498	5711	9869	10176	19859	64233	601680	0
